id,start,end,distance_km,duration_min
1,AMNAT CHAROEN,UBON RATCHATHANI,91.7,82
2,AMNAT CHAROEN,YASOTHON,75.4,71
3,AMNAT CHAROEN,MUKDAHAN,91.6,83
4,BUENG KAN,NAKHON PHANOM,171,155
5,BUENG KAN,SAKON NAKHON,175,172
6,BUENG KAN,NONG KHAI,155,132
7,BURI RAM,NAKHON RATCHASIMA,130,123
8,BURI RAM,SURIN,51.2,45
9,BURI RAM,MAHA SARAKHAM,151,132
10,BURI RAM,KHON KAEN,192,182
11,CHAIYAPHUM,NAKHON RATCHASIMA,112,101
12,CHAIYAPHUM,KHON KAEN,123,111
13,KALASIN,KHON KAEN,80.7,75
14,KALASIN,UDON THANI,157,148
15,KALASIN,MAHA SARAKHAM,46.6,48
16,KALASIN,ROI ET,49,49
17,KALASIN,SAKON NAKHON,129,130
18,KALASIN,MUKDAHAN,143,103
19,KHON KAEN,NAKHON RATCHASIMA,190,173
20,KHON KAEN,BURI RAM,192,177
21,KHON KAEN,CHAIYAPHUM,123,111
22,KHON KAEN,NONG BUA LAMPHU,110,107
23,KHON KAEN,UDON THANI,113,86
24,KHON KAEN,KALASIN,79.8,72
25,KHON KAEN,MAHA SARAKHAM,71.9,64
26,KHON KAEN,LOEI,207,183
27,LOEI,NONG BUA LAMPHU,106,91
28,LOEI,KHON KAEN,207,183
29,LOEI,UDON THANI,150,139
30,LOEI,NONG KHAI,179,170
31,MAHA SARAKHAM,BURI RAM,151,130
32,MAHA SARAKHAM,SURIN,173,157
33,MAHA SARAKHAM,KHON KAEN,72,67
34,MAHA SARAKHAM,KALASIN,45.9,49
35,MAHA SARAKHAM,ROI ET,41.2,41
36,MUKDAHAN,YASOTHON,114,102
37,MUKDAHAN,AMNAT CHAROEN,89.1,74
38,MUKDAHAN,ROI ET,150,125
39,MUKDAHAN,KALASIN,149,106
40,MUKDAHAN,SAKON NAKHON,118,109
41,MUKDAHAN,NAKHON PHANOM,108,84
42,NAKHON PHANOM,BUENG KAN,177,146
43,NAKHON PHANOM,SAKON NAKHON,92.4,75
44,NAKHON PHANOM,MUKDAHAN,108,90
45,NAKHON RATCHASIMA,KHON KAEN,192,160
46,NAKHON RATCHASIMA,BURI RAM,128,116
47,NAKHON RATCHASIMA,CHAIYAPHUM,112,101
48,NONG BUA LAMPHU,UDON THANI,53.8,53
49,NONG BUA LAMPHU,LOEI,106,91
50,NONG BUA LAMPHU,KHON KAEN,110,107
51,NONG KHAI,BUENG KAN,145,120
52,NONG KHAI,UDON THANI,58.6,55
53,NONG KHAI,LOEI,179,170
54,NONG KHAI,SAKON NAKHON,213,184
55,ROI ET,SURIN,145,127
56,ROI ET,SI SA KET,146,127
57,ROI ET,YASOTHON,67.9,54
58,ROI ET,MAHA SARAKHAM,41.2,41
59,ROI ET,KALASIN,49,48
60,ROI ET,MUKDAHAN,150,125
61,SAKON NAKHON,BUENG KAN,175,172
62,SAKON NAKHON,UDON THANI,160,136
63,SAKON NAKHON,NONG KHAI,213,184
64,SAKON NAKHON,KALASIN,129,130
65,SAKON NAKHON,NAKHON PHANOM,92.4,75
66,SAKON NAKHON,MUKDAHAN,118,109
67,SI SA KET,SURIN,104,94
68,SI SA KET,UBON RATCHATHANI,68.2,62
69,SI SA KET,YASOTHON,103,87
70,SI SA KET,ROI ET,146,127
71,SURIN,BURI RAM,51.2,45
72,SURIN,SI SA KET,104,94
73,SURIN,ROI ET,145,127
74,SURIN,MAHA SARAKHAM,173,157
75,UBON RATCHATHANI,SI SA KET,68.2,62
76,UBON RATCHATHANI,AMNAT CHAROEN,91.7,82
77,UBON RATCHATHANI,YASOTHON,101,80
78,UDON THANI,NONG BUA LAMPHU,53.8,53
79,UDON THANI,KHON KAEN,113,86
80,UDON THANI,NONG KHAI,58.6,55
81,UDON THANI,SAKON NAKHON,160,136
82,UDON THANI,KALASIN,157,148
83,UDON THANI,LOEI,150,139
84,YASOTHON,SI SA KET,103,87
85,YASOTHON,UBON RATCHATHANI,101,80
86,YASOTHON,MUKDAHAN,114,102
87,YASOTHON,AMNAT CHAROEN,75.4,71
88,YASOTHON,ROI ET,67.9,54
